track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Youngblood,5 Seconds of Summer,0.596,0.8540000000000001,7,-5.114,0,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274,203.418
God's Plan,Drake,0.755,0.44799999999999995,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179,198.96
Perfect,Ed Sheeran,0.599,0.44799999999999995,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263.4
Be Alright,Dean Lewis,0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196.373
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.047,0.0,0.083,0.579,154.084,163.87
I Fall Apart,Post Malone,0.565,0.55,8,-5.357,0,0.0397,0.0782,0.0,0.196,0.302,143.92700000000002,223.347
Psycho (feat. Ty Dolla $ign),Post Malone,0.748,0.546,8,-8.134,1,0.106,0.59,0.0,0.11199999999999999,0.413,140.005,220.88
Girls Like You,Maroon 5,0.8370000000000001,0.467,0,-7.062,1,0.0439,0.536,0.0,0.128,0.424,125.00399999999999,215.23
Shotgun,George Ezra,0.672,0.735,5,-4.7330000000000005,1,0.0457,0.28600000000000003,0.0,0.242,0.754,115.741,201.287
Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,173.8
Better Now,Post Malone,0.68,0.578,10,-5.803999999999999,1,0.04,0.331,0.0,0.135,0.341,145.03799999999998,231.267
rockstar,Post Malone,0.5770000000000001,0.522,5,-6.593999999999999,0,0.0984,0.13,9.03e-05,0.142,0.11900000000000001,159.77200000000002,218.32
Love Lies (with Normani),Khalid,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.33799999999999997,143.955,201.707
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,0.809,0,-4.0569999999999995,1,0.0474,0.19399999999999998,0.0,0.165,0.55,92.213,210.773
The Middle,Zedd,0.748,0.652,7,-3.02,1,0.057999999999999996,0.20800000000000002,0.0,0.128,0.431,106.914,184.732
In My Feelings,Drake,0.735,0.48200000000000004,8,-9.445,1,0.139,0.006229999999999999,0.0144,0.44799999999999995,0.315,181.995,217.933
All The Stars (with SZA),Kendrick Lamar,0.715,0.62,5,-5.428,0,0.0507,0.0322,0.0142,0.0881,0.456,96.81200000000001,235.54
IDGAF,Dua Lipa,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,217.947
River (feat. Ed Sheeran),Eminem,0.757,0.748,8,-5.794,0,0.473,0.17,0.0,0.0759,0.693,90.052,221.013
One Kiss (with Dua Lipa),Calvin Harris,0.7909999999999999,0.862,9,-3.24,0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,214.847
SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023,166.568
Nice For What,Drake,0.5670000000000001,0.9129999999999999,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,210.926
Havana,Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.18600000000000003,3.8e-05,0.10400000000000001,0.418,104.992,216.897
This Is Me,Keala Settle,0.284,0.7040000000000001,2,-7.276,1,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702,234.707
Shape of You,Ed Sheeran,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233.713
no tears left to cry,Ariana Grande,0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65e-06,0.27399999999999997,0.366,121.969,205.947
FRIENDS,Marshmello,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202.621
2002,Anne-Marie,0.6970000000000001,0.6829999999999999,1,-2.8810000000000002,0,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,186.987
Rise,Jonas Blue,0.69,0.784,1,-4.6530000000000005,1,0.032,0.32299999999999995,0.0,0.203,0.669,106.066,194.408
Silence,Marshmello,0.52,0.7609999999999999,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971,180.823
