track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Running Up That Hill - Recorded at Spotify Studios Stockholm,First Aid Kit,0.523,0.40299999999999997,0,-10.395,0,0.0276,0.037000000000000005,0.0,0.23,0.0984,108.976,236.493
Mountain Sound,Of Monsters and Men,0.379,0.879,1,-4.336,0,0.0362,0.0421,0.00449,0.146,0.37,102.021,211.453
Breathing Underwater,Metric,0.41,0.934,11,-4.86,0,0.0661,0.0015400000000000001,0.0294,0.373,0.17300000000000001,141.109,236.44
Unsteady - Erich Lee Gravity Remix,X Ambassadors,0.345,0.574,2,-7.431,1,0.0435,0.0112,1.6100000000000002e-05,0.34299999999999997,0.0736,116.679,204.587
Make You Feel My Love,Sleeping At Last,0.451,0.0767,7,-12.220999999999998,1,0.0402,0.9790000000000001,0.0,0.129,0.33299999999999996,139.586,208.34
"Holding Out for a Hero - From the Trailer for ""Vikings"" - Series 2",Nothing But Thieves,0.52,0.65,2,-7.747000000000001,1,0.0397,0.017,0.415,0.11,0.163,96.96799999999999,250.48
Moondust,Jaymes Young,0.605,0.379,6,-10.51,0,0.0289,0.659,4.57e-06,0.106,0.29600000000000004,147.851,225.203
All I Want,Kodaline,0.209,0.41200000000000003,0,-9.732999999999999,1,0.0443,0.172,0.15,0.0843,0.162,86.26,305.747
Woman,Mumford & Sons,0.5920000000000001,0.555,1,-10.499,0,0.0381,0.662,0.452,0.111,0.142,156.957,274.553
Hem of Her Dress,First Aid Kit,0.435,0.276,6,-10.937999999999999,1,0.0297,0.7240000000000001,1.21e-06,0.802,0.445,121.353,203.72
Half Light,BANNERS,0.532,0.392,10,-7.502000000000001,1,0.0289,0.816,0.0,0.122,0.35200000000000004,151.879,185.947
Turning Page,Sleeping At Last,0.307,0.371,3,-8.498,1,0.0288,0.9229999999999999,0.0253,0.11,0.18899999999999997,115.241,255.893
Wolves Without Teeth,Of Monsters and Men,0.36200000000000004,0.72,11,-6.169,0,0.0333,0.00108,0.000446,0.332,0.436,135.613,232.973
Draw Your Swords,Angus & Julia Stone,0.693,0.304,9,-9.924,0,0.0275,0.168,0.00015800000000000002,0.0831,0.0664,114.04299999999999,395.613
Heal,Tom Odell,0.444,0.179,1,-12.937999999999999,1,0.0396,0.9520000000000001,0.00056,0.107,0.11900000000000001,72.255,193.08
The Wolves,Ben Howard,0.483,0.5429999999999999,0,-9.902999999999999,0,0.0325,0.272,0.0070799999999999995,0.127,0.489,119.235,309.347
The Wreck of Our Hearts,Sleeping Wolf,0.617,0.599,9,-8.275,1,0.031,0.17300000000000001,0.0174,0.0799,0.327,126.027,227.147
Wild Roses,Of Monsters and Men,0.629,0.784,6,-6.377000000000001,0,0.0362,0.009040000000000001,5.429999999999999e-05,0.233,0.35600000000000004,116.021,242.76
"Welcome Home, Son",Radical Face,0.5870000000000001,0.49700000000000005,6,-10.757,1,0.0307,0.723,0.782,0.142,0.401,144.972,287.634
I'm Gonna Be (500 Miles),Sleeping At Last,0.39399999999999996,0.228,4,-12.584000000000001,1,0.0431,0.966,3.81e-05,0.113,0.258,104.625,211.788
The Barrel - Edit,Aldous Harding,0.738,0.423,11,-8.192,1,0.0332,0.743,7.96e-05,0.11900000000000001,0.612,87.066,219.511
To Live a Life,First Aid Kit,0.32899999999999996,0.23600000000000002,6,-10.827,1,0.0345,0.8109999999999999,0.000469,0.115,0.34600000000000003,177.139,192.813
Slow - StoneBridge & Matt Joko Revibe,Rumer,0.64,0.988,10,-3.6510000000000002,0,0.191,0.00125,0.39299999999999996,0.889,0.6829999999999999,127.994,335.581
Love Won't Let Me Leave,Seafret,0.5820000000000001,0.49700000000000005,11,-6.353,0,0.0299,0.11800000000000001,1.4400000000000001e-05,0.11,0.158,132.017,255.2
Till I Found You - Radio Edit,Josef Salvat,0.586,0.604,1,-6.697,0,0.049,0.175,0.0,0.0759,0.327,127.154,234.84
Saturn,Sleeping At Last,0.263,0.237,3,-13.738,1,0.0344,0.638,0.305,0.109,0.0461,73.024,289.792
