playlist_id,track_name,first_artist,date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2gNym1sKaHh89CrWy5r4kU,Dead Eyes,Promoting Sounds,2019-11-08T02:04:31Z,0.719,0.651,7,-5.878,1,0.0274,0.127,0,0.0763,0.288,104.956,audio_features,7BdlyzVvOqmwPH9dYtZfsx,spotify:track:7BdlyzVvOqmwPH9dYtZfsx,https://api.spotify.com/v1/tracks/7BdlyzVvOqmwPH9dYtZfsx,https://api.spotify.com/v1/audio-analysis/7BdlyzVvOqmwPH9dYtZfsx,219429,4
2gNym1sKaHh89CrWy5r4kU,Psycho! (Remix) (feat. Trippie Redd),MASN,2020-04-14T17:32:14Z,0.871,0.525,7,-4.957,1,0.0512,0.297,0,0.184,0.547,115.01,audio_features,7j0He3HOaCTWLG7IRQr33p,spotify:track:7j0He3HOaCTWLG7IRQr33p,https://api.spotify.com/v1/tracks/7j0He3HOaCTWLG7IRQr33p,https://api.spotify.com/v1/audio-analysis/7j0He3HOaCTWLG7IRQr33p,158719,4
2gNym1sKaHh89CrWy5r4kU,Save Me,Promoting Sounds,2020-04-17T10:41:19Z,0.628,0.613,4,-7.209,0,0.0705,0.0271,0,0.291,0.218,170.075,audio_features,0n9OEnwslUYp35GIPC4gV3,spotify:track:0n9OEnwslUYp35GIPC4gV3,https://api.spotify.com/v1/tracks/0n9OEnwslUYp35GIPC4gV3,https://api.spotify.com/v1/audio-analysis/0n9OEnwslUYp35GIPC4gV3,172235,4
2gNym1sKaHh89CrWy5r4kU,death bed (coffee for your head) (feat. beabadoobee),Powfu,2020-02-28T23:50:44Z,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333,4
2gNym1sKaHh89CrWy5r4kU,i still think of u,Promoting Sounds,2020-03-06T08:08:59Z,0.699,0.665,5,-9.676,1,0.0339,0.282,0,0.147,0.352,119.989,audio_features,0qJOO0qpBFmR1vXf4rMRuj,spotify:track:0qJOO0qpBFmR1vXf4rMRuj,https://api.spotify.com/v1/tracks/0qJOO0qpBFmR1vXf4rMRuj,https://api.spotify.com/v1/audio-analysis/0qJOO0qpBFmR1vXf4rMRuj,180000,4
2gNym1sKaHh89CrWy5r4kU,PAID MY DUES,NF,2019-12-06T06:09:23Z,0.812,0.784,2,-4.208,1,0.248,0.136,0,0.109,0.38,145.995,audio_features,18czZN7uruOjftj71Kt8oj,spotify:track:18czZN7uruOjftj71Kt8oj,https://api.spotify.com/v1/tracks/18czZN7uruOjftj71Kt8oj,https://api.spotify.com/v1/audio-analysis/18czZN7uruOjftj71Kt8oj,211644,4
2gNym1sKaHh89CrWy5r4kU,Ooo La La,Rozei,2020-01-20T23:00:15Z,0.677,0.71,1,-9.18,1,0.0354,0.00581,0.000942,0.142,0.427,100.008,audio_features,1mpcJRB56g3g8mGyCn6cHT,spotify:track:1mpcJRB56g3g8mGyCn6cHT,https://api.spotify.com/v1/tracks/1mpcJRB56g3g8mGyCn6cHT,https://api.spotify.com/v1/audio-analysis/1mpcJRB56g3g8mGyCn6cHT,115200,4
2gNym1sKaHh89CrWy5r4kU,Past Life,Trevor Daniel,2020-03-14T15:09:20Z,0.583,0.627,3,-5.882,1,0.0343,0.144,0,0.219,0.535,159.921,audio_features,3JjY4IgdeK1w8qMBm0yWyw,spotify:track:3JjY4IgdeK1w8qMBm0yWyw,https://api.spotify.com/v1/tracks/3JjY4IgdeK1w8qMBm0yWyw,https://api.spotify.com/v1/audio-analysis/3JjY4IgdeK1w8qMBm0yWyw,181112,4
2gNym1sKaHh89CrWy5r4kU,DAYS OF THE WEEK,Melvoni,2020-04-01T18:42:13Z,0.596,0.468,11,-10.693,0,0.266,0.0849,0,0.115,0.152,91.327,audio_features,1ev4fcEhU7FdWttJejDlPa,spotify:track:1ev4fcEhU7FdWttJejDlPa,https://api.spotify.com/v1/tracks/1ev4fcEhU7FdWttJejDlPa,https://api.spotify.com/v1/audio-analysis/1ev4fcEhU7FdWttJejDlPa,160626,4
2gNym1sKaHh89CrWy5r4kU,only one,Promoting Sounds,2020-01-13T11:01:43Z,0.573,0.537,1,-9.476,0,0.035,0.206,0,0.11,0.0637,170.123,audio_features,1VCdgndmMisCUlCveqNeJt,spotify:track:1VCdgndmMisCUlCveqNeJt,https://api.spotify.com/v1/tracks/1VCdgndmMisCUlCveqNeJt,https://api.spotify.com/v1/audio-analysis/1VCdgndmMisCUlCveqNeJt,124235,4
