playlist_id,track_name,first_artist,date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7e5Hv4QxJby96974gfiWT1,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,2020-03-12T22:34:55Z,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443,audio_features,6aBUnkXuCEQQHAlTokv9or,spotify:track:6aBUnkXuCEQQHAlTokv9or,https://api.spotify.com/v1/tracks/6aBUnkXuCEQQHAlTokv9or,https://api.spotify.com/v1/audio-analysis/6aBUnkXuCEQQHAlTokv9or,296147,4
7e5Hv4QxJby96974gfiWT1,Angels,Robbie Williams,2020-03-12T22:35:10Z,0.437,0.586,4,-6.708,1,0.0274,0.151,3.13e-06,0.0996,0.252,150.14,audio_features,7fH9ZS8gezOtky5bkYHvCN,spotify:track:7fH9ZS8gezOtky5bkYHvCN,https://api.spotify.com/v1/tracks/7fH9ZS8gezOtky5bkYHvCN,https://api.spotify.com/v1/audio-analysis/7fH9ZS8gezOtky5bkYHvCN,265733,4
7e5Hv4QxJby96974gfiWT1,Shuffle,Bombay Bicycle Club,2020-03-12T22:38:46Z,0.627,0.959,7,-4.744,1,0.0298,0.316,0.00576,0.112,0.397,109.981,audio_features,4yYvWFUWMaKMXtoJKJnmZk,spotify:track:4yYvWFUWMaKMXtoJKJnmZk,https://api.spotify.com/v1/tracks/4yYvWFUWMaKMXtoJKJnmZk,https://api.spotify.com/v1/audio-analysis/4yYvWFUWMaKMXtoJKJnmZk,235293,4
7e5Hv4QxJby96974gfiWT1,She Said,Hablot Brown,2020-03-16T21:22:17Z,0.782,0.422,5,-6.464,0,0.311,0.585,8.73e-05,0.119,0.509,87.091,audio_features,3griMd2FSimhnvHWOveakD,spotify:track:3griMd2FSimhnvHWOveakD,https://api.spotify.com/v1/tracks/3griMd2FSimhnvHWOveakD,https://api.spotify.com/v1/audio-analysis/3griMd2FSimhnvHWOveakD,179310,4
7e5Hv4QxJby96974gfiWT1,Take on Me,a-ha,2020-03-12T22:35:18Z,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
7e5Hv4QxJby96974gfiWT1,Take On Me - MTV Unplugged,a-ha,2020-03-12T22:35:27Z,0.472,0.204,9,-13.419,1,0.0408,0.966,4.12e-05,0.69,0.296,129.504,audio_features,7htt7UuxHL5wneOcMWJP5E,spotify:track:7htt7UuxHL5wneOcMWJP5E,https://api.spotify.com/v1/tracks/7htt7UuxHL5wneOcMWJP5E,https://api.spotify.com/v1/audio-analysis/7htt7UuxHL5wneOcMWJP5E,253907,4
7e5Hv4QxJby96974gfiWT1,Everybody Wants To Rule The World,Tears For Fears,2020-03-12T22:35:41Z,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4
7e5Hv4QxJby96974gfiWT1,We Didn't Start the Fire,Billy Joel,2020-03-12T22:35:51Z,0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,audio_features,3Cx4yrFaX8CeHwBMReOWXI,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/tracks/3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/audio-analysis/3Cx4yrFaX8CeHwBMReOWXI,287733,4
7e5Hv4QxJby96974gfiWT1,I'm Gonna Be (500 Miles),The Proclaimers,2020-03-12T22:35:59Z,0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,audio_features,66S14BkJDxgkYxLl5DCqOz,spotify:track:66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/tracks/66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/audio-analysis/66S14BkJDxgkYxLl5DCqOz,219467,4
7e5Hv4QxJby96974gfiWT1,Georgie,Sports Team,2020-03-12T22:36:47Z,0.598,0.724,2,-4.288,1,0.0496,0.0961,1.3e-05,0.363,0.49,117.902,audio_features,5veK2jqsouaHS8aL7xRK1t,spotify:track:5veK2jqsouaHS8aL7xRK1t,https://api.spotify.com/v1/tracks/5veK2jqsouaHS8aL7xRK1t,https://api.spotify.com/v1/audio-analysis/5veK2jqsouaHS8aL7xRK1t,241939,4
7e5Hv4QxJby96974gfiWT1,Ski Lifts,Sports Team,2020-03-12T22:36:51Z,0.574,0.699,9,-6.819,1,0.0366,0.00498,0.0313,0.0983,0.511,119.935,audio_features,46n3QJdKFlILUYtMGaMpXH,spotify:track:46n3QJdKFlILUYtMGaMpXH,https://api.spotify.com/v1/tracks/46n3QJdKFlILUYtMGaMpXH,https://api.spotify.com/v1/audio-analysis/46n3QJdKFlILUYtMGaMpXH,200185,4
7e5Hv4QxJby96974gfiWT1,Here's the Thing,Sports Team,2020-03-12T22:36:58Z,0.395,0.962,7,-2.662,1,0.183,0.0586,0,0.339,0.523,171.96,audio_features,47dABcgBFcFiG570eHsWbl,spotify:track:47dABcgBFcFiG570eHsWbl,https://api.spotify.com/v1/tracks/47dABcgBFcFiG570eHsWbl,https://api.spotify.com/v1/audio-analysis/47dABcgBFcFiG570eHsWbl,175093,4
7e5Hv4QxJby96974gfiWT1,Danny Nedelko,IDLES,2020-03-12T22:38:08Z,0.207,0.931,6,-4.452,1,0.083,0.000274,0.00387,0.243,0.324,204.227,audio_features,1uihOJbHkJJlDwUUOa0yqu,spotify:track:1uihOJbHkJJlDwUUOa0yqu,https://api.spotify.com/v1/tracks/1uihOJbHkJJlDwUUOa0yqu,https://api.spotify.com/v1/audio-analysis/1uihOJbHkJJlDwUUOa0yqu,204844,4
7e5Hv4QxJby96974gfiWT1,September,"Earth, Wind & Fire",2020-03-12T22:38:16Z,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,audio_features,7Cuk8jsPPoNYQWXK9XRFvG,spotify:track:7Cuk8jsPPoNYQWXK9XRFvG,https://api.spotify.com/v1/tracks/7Cuk8jsPPoNYQWXK9XRFvG,https://api.spotify.com/v1/audio-analysis/7Cuk8jsPPoNYQWXK9XRFvG,215080,4
7e5Hv4QxJby96974gfiWT1,Ivy & Gold,Bombay Bicycle Club,2020-03-12T22:38:33Z,0.615,0.681,6,-7.361,1,0.0307,0.745,0.031,0.0756,0.888,128.994,audio_features,0ej0gx9JY7fNJv9thW5UEe,spotify:track:0ej0gx9JY7fNJv9thW5UEe,https://api.spotify.com/v1/tracks/0ej0gx9JY7fNJv9thW5UEe,https://api.spotify.com/v1/audio-analysis/0ej0gx9JY7fNJv9thW5UEe,176072,4
7e5Hv4QxJby96974gfiWT1,Lightenup,Parcels,2020-03-12T22:39:21Z,0.857,0.658,0,-9.8,1,0.0388,0.015,0.266,0.105,0.703,122.969,audio_features,1qtiESAzfGMw3YqJvI97ki,spotify:track:1qtiESAzfGMw3YqJvI97ki,https://api.spotify.com/v1/tracks/1qtiESAzfGMw3YqJvI97ki,https://api.spotify.com/v1/audio-analysis/1qtiESAzfGMw3YqJvI97ki,237227,4
7e5Hv4QxJby96974gfiWT1,IknowhowIfeel,Parcels,2020-03-12T22:39:25Z,0.856,0.511,2,-10.413,0,0.0365,0.386,0.0334,0.0985,0.942,114.985,audio_features,2IFaUS63AIAr9P46W1lEwt,spotify:track:2IFaUS63AIAr9P46W1lEwt,https://api.spotify.com/v1/tracks/2IFaUS63AIAr9P46W1lEwt,https://api.spotify.com/v1/audio-analysis/2IFaUS63AIAr9P46W1lEwt,327399,4
