track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Someone Like You,Adele,0.5589999999999999,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285.04
Moves Like Jagger,Maroon 5,0.72,0.748,11,-4.468,0,0.0464,0.0124,0.0,0.312,0.614,128.00799999999998,201.24
Party Rock Anthem,LMFAO,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262.173
Price Tag,Jessie J,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.27699999999999997,0.685,175.03799999999998,223.053
We Found Love,Rihanna,0.7340000000000001,0.7659999999999999,1,-4.485,1,0.0383,0.025,0.0013800000000000002,0.10800000000000001,0.6,127.986,215.227
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,0.6709999999999999,0.9390000000000001,8,-3.2060000000000004,1,0.161,0.192,0.0,0.298,0.529,129.023,252.307
Grenade,Bruno Mars,0.706,0.5579999999999999,2,-7.237,0,0.0593,0.146,0.0,0.11800000000000001,0.22699999999999998,110.443,223.253
The A Team,Ed Sheeran,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.40700000000000003,84.99600000000001,258.373
Rolling in the Deep,Adele,0.7290000000000001,0.7559999999999999,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228.293
On The Floor,Jennifer Lopez,0.73,0.777,3,-5.199,0,0.0479,0.10800000000000001,0.00046699999999999997,0.069,0.591,130.0,284.867
Jar of Hearts,Christina Perri,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,246.587
S&M,Rihanna,0.7659999999999999,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.10400000000000001,0.833,127.96600000000001,243.533
Wherever You Are,Military Wives,0.247,0.289,8,-10.624,1,0.0338,0.953,0.0858,0.11900000000000001,0.217,130.002,171.587
Born This Way,Lady Gaga,0.5870000000000001,0.828,11,-5.1080000000000005,1,0.161,0.0032700000000000003,0.0,0.331,0.494,123.90700000000001,260.253
The Lazy Song,Bruno Mars,0.738,0.804,11,-3.8510000000000004,1,0.0621,0.332,0.0,0.27899999999999997,0.9490000000000001,174.94299999999998,190.213
Beautiful People (feat. Benny Benassi),Chris Brown,0.41700000000000004,0.8059999999999999,5,-5.3389999999999995,0,0.16,0.0703,0.006370000000000001,0.0841,0.545,127.887,226.773
Changed the Way You Kiss Me - Radio Edit,Example,0.575,0.802,4,-5.0489999999999995,0,0.0397,0.00628,0.00116,0.11699999999999999,0.25,126.99799999999999,192.72
I Need A Dollar,Aloe Blacc,0.84,0.48200000000000004,6,-7.1160000000000005,0,0.0333,0.20199999999999999,0.0,0.0873,0.9570000000000001,95.49799999999999,243.053
Sweat (Snoop Dogg Vs. David Guetta),Snoop Dogg,0.8190000000000001,0.805,2,-5.81,1,0.0322,0.00813,0.267,0.0861,0.47100000000000003,129.988,343.24
What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009000000000000001,0.0,0.0596,0.888,124.99,199.987
Heart Skips a Beat (feat. Chiddy Bang),Olly Murs,0.7709999999999999,0.9129999999999999,9,-2.884,1,0.0505,0.128,0.0,0.0732,0.924,110.584,202.093
Mr. Saxobeat,Alexandra Stan,0.72,0.925,4,-4.165,0,0.0511,0.0276,0.00023799999999999998,0.14,0.7809999999999999,127.00399999999999,195.105
Earthquake,Labrinth,0.545,0.884,0,-3.373,0,0.107,0.0758,1.23e-06,0.278,0.254,153.138,274.067
Glad You Came,The Wanted,0.61,0.841,7,-4.579,0,0.0692,0.055999999999999994,9.85e-06,0.11800000000000001,0.431,126.889,198.187
Louder,DJ Fresh,0.39399999999999996,0.932,6,-1.089,0,0.0475,0.0175,0.0102,0.354,0.475,140.041,206.96
Do It Like A Dude,Jessie J,0.6629999999999999,0.8440000000000001,2,-3.6719999999999997,1,0.0487,0.0506,0.0,0.364,0.37799999999999995,140.041,195.24
The Edge Of Glory,Lady Gaga,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.95200000000001,320.587
Yeah 3x,Chris Brown,0.705,0.882,11,-3.201,0,0.0445,0.00036899999999999997,1.16e-06,0.0934,0.7,130.0,241.667
Set Fire to the Rain,Adele,0.61,0.6829999999999999,2,-3.8789999999999996,0,0.0253,0.0038200000000000005,1.79e-06,0.125,0.466,108.00299999999999,241.693
Super Bass,Nicki Minaj,0.72,0.861,11,-4.3389999999999995,1,0.209,0.26899999999999996,5.11e-06,0.601,0.669,126.991,200.013
Sexy And I Know It,LMFAO,0.7070000000000001,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.02100000000002,199.48
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,0.664,0.873,3,-3.115,1,0.0394,0.0305,0.0,0.228,0.5710000000000001,129.876,210.093
Don't Hold Your Breath,Nicole Scherzinger,0.662,0.794,5,-6.037999999999999,0,0.0286,0.00878,0.00018,0.214,0.67,110.962,197.52
Best Thing I Never Had,Beyoncé,0.545,0.649,6,-4.062,1,0.0324,0.14300000000000002,1.57e-05,0.0894,0.297,99.09899999999999,253.747
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.01799999999999,223.413
E.T.,Katy Perry,0.62,0.8690000000000001,1,-5.252000000000001,1,0.175,0.0181,0.0,0.369,0.76,151.684,229.573
Read All About It,Professor Green,0.6559999999999999,0.752,11,-5.522,0,0.0434,0.336,0.0,0.223,0.445,100.963,235.736
Champion,Chip,0.428,0.9279999999999999,6,-3.0589999999999997,0,0.177,0.179,0.0,0.11900000000000001,0.568,190.019,238.253
Paradise,Coldplay,0.449,0.585,5,-6.7620000000000005,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,278.719
Lego House,Ed Sheeran,0.5920000000000001,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701,185.093
Cannonball,Little Mix,0.294,0.506,5,-7.082999999999999,1,0.113,0.42,0.0,0.289,0.22,152.10399999999998,205.067
Just Can’t Get Enough,Black Eyed Peas,0.659,0.628,0,-8.685,0,0.179,0.18600000000000003,0.0,0.105,0.262,94.05,219.427
Who's That Chick? (feat. Rihanna),David Guetta,0.675,0.601,11,-4.7330000000000005,0,0.11599999999999999,0.00372,0.0,0.0458,0.9309999999999999,127.93799999999999,201.04
Marry You,Bruno Mars,0.62,0.8320000000000001,10,-4.848,1,0.036000000000000004,0.332,0.0,0.10400000000000001,0.48100000000000004,144.92600000000002,230.12
Last Friday Night (T.G.I.F.),Katy Perry,0.649,0.815,3,-3.7960000000000003,0,0.0415,0.00125,4.31e-05,0.6709999999999999,0.765,126.03,230.747
Feel So Close - Radio Edit,Calvin Harris,0.7070000000000001,0.924,7,-2.842,1,0.031,0.0009720000000000001,0.00703,0.204,0.919,127.93700000000001,206.413
Don't Wanna Go Home,Jason Derulo,0.6709999999999999,0.8079999999999999,2,-4.861000000000001,0,0.0652,0.02,0.0,0.134,0.637,121.956,206.08
Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248.133
What's My Name?,Rihanna,0.695,0.782,2,-2.967,1,0.0629,0.223,0.0,0.0773,0.595,99.992,263.173
Without You (feat. Usher),David Guetta,0.608,0.614,2,-3.727,1,0.0285,0.22699999999999998,4.06e-06,0.157,0.402,127.884,208.133
Wherever You Will Go,Charlene Soraia,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.20200000000001,197.577
Hello (feat. Dragonette),Martin Solveig,0.6659999999999999,0.975,3,-3.47,1,0.0345,0.0135,0.000925,0.105,0.452,128.005,191.388
She Makes Me Wanna,JLS,0.682,0.843,0,-4.466,1,0.0933,0.0564,0.0,0.368,0.818,125.95,219.867
Dance with Me Tonight,Olly Murs,0.6659999999999999,0.75,11,-5.926,0,0.0598,0.314,0.0,0.0753,0.9640000000000001,163.937,202.693
Coming Home,Diddy - Dirty Money,0.392,0.8390000000000001,7,-1.921,1,0.193,0.158,0.0,0.3,0.23199999999999998,168.00099999999998,238.693
Nobody's Perfect,Jessie J,0.5710000000000001,0.8809999999999999,7,-3.22,0,0.285,0.00228,0.0,0.6629999999999999,0.6629999999999999,163.09799999999998,259.867
We R Who We R,Kesha,0.736,0.8170000000000001,8,-4.9,1,0.0407,0.00987,0.0016699999999999998,0.11699999999999999,0.653,119.95,204.76
Buzzin Remix,Mann,0.723,0.937,10,-4.2139999999999995,0,0.138,0.11800000000000001,0.0,0.32799999999999996,0.562,104.007,224.4
All About Tonight,Pixie Lott,0.637,0.804,2,-6.141,1,0.0448,0.207,0.0,0.115,0.732,129.261,186.173
Make You Feel My Love,Adele,0.552,0.18,10,-10.583,1,0.0293,0.894,0.000393,0.105,0.0896,76.995,212.04
Down With The Trumpets,Rizzle Kicks,0.753,0.88,4,-4.689,0,0.0806,0.087,0.0,0.24,0.794,115.057,186.851
Black and Yellow,Wiz Khalifa,0.684,0.8340000000000001,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.5379999999999999,164.02,217.667
I Need A Doctor,Dr. Dre,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826,283.733
No Regrets,Dappy,0.532,0.917,8,-3.468,1,0.213,0.2,0.0,0.542,0.38799999999999996,89.99700000000001,240.88
Firework,Katy Perry,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072,227.88
Right There,Nicole Scherzinger,0.7509999999999999,0.799,7,-3.906,1,0.27,0.155,0.0,0.42700000000000005,0.59,95.01299999999999,262.253
Just the Way You Are,Bruno Mars,0.637,0.843,5,-5.412999999999999,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220.733
Only Girl (In The World),Rihanna,0.7859999999999999,0.716,11,-4.253,0,0.0409,0.102,1.7199999999999998e-05,0.0557,0.595,125.921,235.52
F**kin' Perfect,P!nk,0.57,0.6459999999999999,7,-4.748,1,0.0331,0.0412,0.0,0.36200000000000004,0.485,91.954,213.413
Higher,Taio Cruz,0.665,0.902,8,-4.484,0,0.0543,0.0014,0.0,0.107,0.816,128.041,218.16
Eyes Wide Shut,JLS,0.7,0.757,0,-5.646,1,0.0445,0.00843,0.0,0.281,0.601,128.024,230.613
Forget You,CeeLo Green,0.696,0.875,0,-3.682,1,0.0649,0.134,0.0,0.159,0.772,127.39,222.733
Don't Go (feat. Josh Kumra) - Radio Edit,Wretch 32,0.687,0.797,7,-6.362,0,0.18600000000000003,0.135,0.0,0.23399999999999999,0.486,98.994,237.96
Judas,Lady Gaga,0.6609999999999999,0.937,10,-3.83,0,0.0744,0.000967,1.59e-05,0.355,0.535,131.001,249.067
