track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s,class
Someone Like You,Adele,0.559,0.33,9,-8.251,1,0.0285,0.892,0,0.0975,0.285,135.109,285.04,1
Moves Like Jagger,Maroon 5,0.72,0.748,11,-4.468,0,0.0464,0.0124,0,0.312,0.614,128.008,201.24,1
Party Rock Anthem,LMFAO,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,262.173,1
Price Tag,Jessie J,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06E-06,0.277,0.685,175.038,223.053,1
We Found Love,Rihanna,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215.227,1
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,0.671,0.939,8,-3.206,1,0.161,0.192,0,0.298,0.529,129.023,252.307,1
Grenade,Bruno Mars,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,223.253,1
The A Team,Ed Sheeran,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258.373,1
Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0,0.0527,0.522,104.945,228.293,1
On The Floor,Jennifer Lopez,0.73,0.777,3,-5.199,0,0.0479,0.108,0.000467,0.069,0.591,130,284.867,1
Jar of Hearts,Christina Perri,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,246.587,1
S&M,Rihanna,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,243.533,1
Wherever You Are,Military Wives,0.247,0.289,8,-10.624,1,0.0338,0.953,0.0858,0.119,0.217,130.002,171.587,1
Born This Way,Lady Gaga,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,260.253,1
The Lazy Song,Bruno Mars,0.738,0.804,11,-3.851,1,0.0621,0.332,0,0.279,0.949,174.943,190.213,1
Beautiful People (feat. Benny Benassi),Chris Brown,0.417,0.806,5,-5.339,0,0.16,0.0703,0.00637,0.0841,0.545,127.887,226.773,1
Changed the Way You Kiss Me - Radio Edit,Example,0.575,0.802,4,-5.049,0,0.0397,0.00628,0.00116,0.117,0.25,126.998,192.72,1
I Need A Dollar,Aloe Blacc,0.84,0.482,6,-7.116,0,0.0333,0.202,0,0.0873,0.957,95.498,243.053,1
Sweat (Snoop Dogg Vs. David Guetta),Snoop Dogg,0.819,0.805,2,-5.81,1,0.0322,0.00813,0.267,0.0861,0.471,129.988,343.24,1
What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,199.987,1
Heart Skips a Beat (feat. Chiddy Bang),Olly Murs,0.771,0.913,9,-2.884,1,0.0505,0.128,0,0.0732,0.924,110.584,202.093,1
Mr. Saxobeat,Alexandra Stan,0.72,0.925,4,-4.165,0,0.0511,0.0276,0.000238,0.14,0.781,127.004,195.105,1
Earthquake,Labrinth,0.545,0.884,0,-3.373,0,0.107,0.0758,1.23E-06,0.278,0.254,153.138,274.067,1
Glad You Came,The Wanted,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85E-06,0.118,0.431,126.889,198.187,1
Louder,DJ Fresh,0.394,0.932,6,-1.089,0,0.0475,0.0175,0.0102,0.354,0.475,140.041,206.96,1
Do It Like A Dude,Jessie J,0.663,0.844,2,-3.672,1,0.0487,0.0506,0,0.364,0.378,140.041,195.24,1
The Edge Of Glory,Lady Gaga,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,320.587,1
Yeah 3x,Chris Brown,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16E-06,0.0934,0.7,130,241.667,1
Set Fire to the Rain,Adele,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79E-06,0.125,0.466,108.003,241.693,1
Super Bass,Nicki Minaj,0.72,0.861,11,-4.339,1,0.209,0.269,5.11E-06,0.601,0.669,126.991,200.013,1
Sexy And I Know It,LMFAO,0.707,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.021,199.48,1
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,0.664,0.873,3,-3.115,1,0.0394,0.0305,0,0.228,0.571,129.876,210.093,1
Don't Hold Your Breath,Nicole Scherzinger,0.662,0.794,5,-6.038,0,0.0286,0.00878,0.00018,0.214,0.67,110.962,197.52,1
Best Thing I Never Had,Beyoncé,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57E-05,0.0894,0.297,99.099,253.747,1
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223.413,1
E.T.,Katy Perry,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,151.684,229.573,1
Read All About It,Professor Green,0.656,0.752,11,-5.522,0,0.0434,0.336,0,0.223,0.445,100.963,235.736,1
Champion,Chip,0.428,0.928,6,-3.059,0,0.177,0.179,0,0.119,0.568,190.019,238.253,1
Paradise,Coldplay,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49E-05,0.0833,0.203,139.627,278.719,1
Lego House,Ed Sheeran,0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,185.093,1
Cannonball,Little Mix,0.294,0.506,5,-7.083,1,0.113,0.42,0,0.289,0.22,152.104,205.067,1
Just Can’t Get Enough,Black Eyed Peas,0.659,0.628,0,-8.685,0,0.179,0.186,0,0.105,0.262,94.05,219.427,1
Who's That Chick? (feat. Rihanna),David Guetta,0.675,0.601,11,-4.733,0,0.116,0.00372,0,0.0458,0.931,127.938,201.04,1
Marry You,Bruno Mars,0.62,0.832,10,-4.848,1,0.036,0.332,0,0.104,0.481,144.926,230.12,1
Last Friday Night (T.G.I.F.),Katy Perry,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31E-05,0.671,0.765,126.03,230.747,1
Feel So Close - Radio Edit,Calvin Harris,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206.413,1
Don't Wanna Go Home,Jason Derulo,0.671,0.808,2,-4.861,0,0.0652,0.02,0,0.134,0.637,121.956,206.08,1
Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248.133,1
What's My Name?,Rihanna,0.695,0.782,2,-2.967,1,0.0629,0.223,0,0.0773,0.595,99.992,263.173,1
Without You (feat. Usher),David Guetta,0.608,0.614,2,-3.727,1,0.0285,0.227,4.06E-06,0.157,0.402,127.884,208.133,1
Wherever You Will Go,Charlene Soraia,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202,197.577,1
Hello (feat. Dragonette),Martin Solveig,0.666,0.975,3,-3.47,1,0.0345,0.0135,0.000925,0.105,0.452,128.005,191.388,1
She Makes Me Wanna,JLS,0.682,0.843,0,-4.466,1,0.0933,0.0564,0,0.368,0.818,125.95,219.867,1
Dance with Me Tonight,Olly Murs,0.666,0.75,11,-5.926,0,0.0598,0.314,0,0.0753,0.964,163.937,202.693,1
