track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Rolling in the Deep,Adele,0.7290000000000001,0.7559999999999999,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228.293
Party Rock Anthem,LMFAO,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262.173
Firework,Katy Perry,0.638,0.8320000000000001,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,227.893
E.T.,Katy Perry,0.602,0.863,5,-5.422999999999999,0,0.0773,0.0178,0.0,0.389,0.732,150.183,206.373
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,0.672,0.934,3,-3.2060000000000004,1,0.155,0.161,0.0,0.278,0.487,129.028,252.30700000000002
Grenade,Bruno Mars,0.706,0.5579999999999999,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,223.253
Forget You,CeeLo Green,0.696,0.875,0,-3.682,1,0.0649,0.134,0.0,0.159,0.772,127.39,222.733
Super Bass,Nicki Minaj,0.767,0.738,11,-7.491,1,0.231,0.0582,0.0109,0.404,0.59,126.938,201.253
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,0.72,0.77,9,-4.431,1,0.0498,0.0147,0.0,0.338,0.6759999999999999,128.016,201.6
Just Can’t Get Enough,Black Eyed Peas,0.483,0.628,0,-8.642000000000001,0,0.256,0.165,0.0,0.0903,0.218,94.056,219.44
On The Floor,Jennifer Lopez,0.73,0.777,3,-5.199,0,0.0479,0.108,0.000467,0.069,0.591,130.0,284.867
S&M,Rihanna,0.7659999999999999,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,243.533
Pumped Up Kicks,Foster The People,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239.6
Last Friday Night (T.G.I.F.),Katy Perry,0.6509999999999999,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230.733
Just the Way You Are,Bruno Mars,0.637,0.843,5,-5.4129999999999985,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220.733
Tonight (I'm Lovin' You),Enrique Iglesias,0.659,0.882,5,-4.623,0,0.0465,0.0258,9.2e-06,0.14400000000000002,0.314,125.985,231.653
Raise Your Glass,P!nk,0.6970000000000001,0.723,7,-4.932,1,0.0796,0.00507,0.0,0.0284,0.648,122.014,203.4
Born This Way,Lady Gaga,0.5870000000000001,0.828,11,-5.1080000000000005,1,0.161,0.0032700000000000003,0.0,0.331,0.494,123.907,260.253
F**kin' Perfect,P!nk,0.5589999999999999,0.655,7,-4.988,1,0.0335,0.0213,0.0,0.353,0.49,91.957,213.58700000000002
What's My Name?,Rihanna,0.69,0.7859999999999999,2,-2.959,1,0.0692,0.229,0.0,0.0797,0.583,100.049,263.173
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,0.755,0.674,11,-6.117000000000001,0,0.207,0.0418,2.49e-05,0.191,0.521,145.846,222.58700000000002
Down On Me,Jeremih,0.7,0.598,2,-7.782999999999999,1,0.114,0.0369,0.0,0.111,0.594,160.041,228.453
How To Love,Lil Wayne,0.643,0.6609999999999999,11,-6.093,1,0.0416,0.000177,5.14e-06,0.108,0.272,154.001,240.30700000000002
