playlist_id,track_name,first_artist,date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3IEcKuHVeXPPvG0UExRayu,Rolling in the Deep,Adele,2020-04-18T18:43:15Z,0.729,0.756,8,-5.119,1,0.0294,0.131,0,0.0527,0.522,104.945,audio_features,1CkvWZme3pRgbzaxZnTl5X,spotify:track:1CkvWZme3pRgbzaxZnTl5X,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,228293,4
3IEcKuHVeXPPvG0UExRayu,Party Rock Anthem,LMFAO,2020-04-18T18:43:15Z,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,audio_features,0IkKz2J93C94Ei4BvDop7P,spotify:track:0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/tracks/0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/audio-analysis/0IkKz2J93C94Ei4BvDop7P,262173,4
3IEcKuHVeXPPvG0UExRayu,Firework,Katy Perry,2020-04-18T18:43:15Z,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,audio_features,4wIjXMeLH3MrXEiaXNfYwC,spotify:track:4wIjXMeLH3MrXEiaXNfYwC,https://api.spotify.com/v1/tracks/4wIjXMeLH3MrXEiaXNfYwC,https://api.spotify.com/v1/audio-analysis/4wIjXMeLH3MrXEiaXNfYwC,227893,4
3IEcKuHVeXPPvG0UExRayu,E.T.,Katy Perry,2020-04-18T18:43:15Z,0.602,0.863,5,-5.423,0,0.0773,0.0178,0,0.389,0.732,150.183,audio_features,4S1qeuIO9X6oOW38r3O0R3,spotify:track:4S1qeuIO9X6oOW38r3O0R3,https://api.spotify.com/v1/tracks/4S1qeuIO9X6oOW38r3O0R3,https://api.spotify.com/v1/audio-analysis/4S1qeuIO9X6oOW38r3O0R3,206373,4
3IEcKuHVeXPPvG0UExRayu,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2020-04-18T18:43:15Z,0.672,0.934,3,-3.206,1,0.155,0.161,0,0.278,0.487,129.028,audio_features,5oBPpIwObzAbBwdINug5I6,spotify:track:5oBPpIwObzAbBwdINug5I6,https://api.spotify.com/v1/tracks/5oBPpIwObzAbBwdINug5I6,https://api.spotify.com/v1/audio-analysis/5oBPpIwObzAbBwdINug5I6,252307,4
3IEcKuHVeXPPvG0UExRayu,Grenade,Bruno Mars,2020-04-18T18:43:15Z,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,audio_features,4lLtanYk6tkMvooU0tWzG8,spotify:track:4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/tracks/4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/audio-analysis/4lLtanYk6tkMvooU0tWzG8,223253,4
3IEcKuHVeXPPvG0UExRayu,Forget You,CeeLo Green,2020-04-18T18:43:15Z,0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,audio_features,7AqISujIaWcY3h5zrOqt5v,spotify:track:7AqISujIaWcY3h5zrOqt5v,https://api.spotify.com/v1/tracks/7AqISujIaWcY3h5zrOqt5v,https://api.spotify.com/v1/audio-analysis/7AqISujIaWcY3h5zrOqt5v,222733,4
3IEcKuHVeXPPvG0UExRayu,Super Bass,Nicki Minaj,2020-04-18T18:43:15Z,0.767,0.738,11,-7.491,1,0.231,0.0582,0.0109,0.404,0.59,126.938,audio_features,2708Nq8H3EEBcahVCNsfTe,spotify:track:2708Nq8H3EEBcahVCNsfTe,https://api.spotify.com/v1/tracks/2708Nq8H3EEBcahVCNsfTe,https://api.spotify.com/v1/audio-analysis/2708Nq8H3EEBcahVCNsfTe,201253,4
3IEcKuHVeXPPvG0UExRayu,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2020-04-18T18:43:15Z,0.72,0.77,9,-4.431,1,0.0498,0.0147,0,0.338,0.676,128.016,audio_features,50jy5FwPSIUp8olK1KuaVS,spotify:track:50jy5FwPSIUp8olK1KuaVS,https://api.spotify.com/v1/tracks/50jy5FwPSIUp8olK1KuaVS,https://api.spotify.com/v1/audio-analysis/50jy5FwPSIUp8olK1KuaVS,201600,4
3IEcKuHVeXPPvG0UExRayu,Just Can’t Get Enough,Black Eyed Peas,2020-04-18T18:43:15Z,0.483,0.628,0,-8.642,0,0.256,0.165,0,0.0903,0.218,94.056,audio_features,1nPPh0CiKqVvYl4Mx1aZ21,spotify:track:1nPPh0CiKqVvYl4Mx1aZ21,https://api.spotify.com/v1/tracks/1nPPh0CiKqVvYl4Mx1aZ21,https://api.spotify.com/v1/audio-analysis/1nPPh0CiKqVvYl4Mx1aZ21,219440,4
